"","GH2_1_D","GH2_1_M","GH2_2_D","GH2_2_M","GH2_3_D","GH2_3_M","GH2_10_D","GH2_10_M","GH2_11_D","GH2_11_M","GH3_2_D","GH3_2_M","GH3_3_D","GH3_3_M","GH3_6_D","GH3_6_M","GH3_7_D","GH3_7_M","GH3_9_D","GH3_9_M","GH3_10_D","GH3_10_M","GH4_2_D","GH4_2_M","GH4_3_D","GH4_3_M","GH4_4_D","GH4_4_M","GH4_5_D","GH4_5_M","GH4_6_D","GH4_6_M","GH4_7_D","GH4_7_M","GH4_10_D","GH4_10_M","GH4_11_D","GH4_11_M","GH4_12_D","GH4_12_M","GH5_2_D","GH5_2_M","GH5_3_D","GH5_3_M","GH5_4_D","GH5_4_M","GH5_6_D","GH5_6_M","GH5_7_D","GH5_7_M","GH5_10_D","GH5_10_M"
"ASV_1433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012484993997599,0,0,0,0.000409181600588063,0.000188839580776131,0,0,0.000897090862488786,0,0,0,0.000975929305285393,0,0.000521829883457993,0,0.000277599205189644,0.000381645297236726,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106685066744513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26507756775297e-05,0,0,0,0,0
"ASV_498",0,0,0,0,0,0,0,0,0,0,0.000188383320628412,0,0.00838856669428335,0.0118188795088258,0.00133187898272002,0.00113307806517152,0,0.00358270746530081,0,0,0.000556390140766706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193366056819872,0,0.000427113935427801,0,0.000689658521896658,0,0,0,0.000394342606482667,0.00164190460934684,0.000828675174398457,0
"ASV_1009",0,0,0,0,0,0,0,0,0,0,0,0,0.00818144159072079,0.00521872601688411,0.00274412997301797,0,0,0.000583848623974948,0,0,0.000206659195141919,0,0,0,0.000676911383986889,0,0,0,0.000389553960714981,0,0,0,0,0,0.000394382390492042,0,0,0,0.000187014201390918,0,0,0,0,0,0,0,0,0,0,0.000200232269432542,0,0
"ASV_45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614882760992948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026322130303672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00219587176108915,2.65385738170431e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_28",0.0130268199233716,0.00196595465822034,0.00251352723400567,0,0.00283957214985922,0.000487958896638824,0.0104681904889395,0.011376404494382,0.0304877052528388,0.129861749886736,0.017563458893007,0.0369454183054226,0.0265120132560066,0.0194934765924789,0.011688386244905,0.00285223099163867,0.0398184746010833,0.0384013163132613,0.0656565656565657,0.00167879618886897,0.0214687110030125,0.0184232316063402,0,0.000309579774121424,0.00109255872503147,0,0.00104286992008285,0,0.000634273756548752,0,0.00140971421248238,0.000305103953275509,0.000610007019922055,0,0.000762026991798183,0,0.00178913102899883,0.000277459348554656,0.000593185670036818,0.00273647798231439,0,0,0.0587857336517499,0.0264499445881049,0.000976206780994565,0,0,0,0.000308969464873018,0.000347069267016406,0.00278736195024936,0.000219521506744719
"ASV_68",0,0.000530495701424537,0.000693386823173978,0,0.00281564317106827,0.00496569935991274,0.00278437803286369,0.00252808988764045,0.0180540805489748,0.00540919013166024,0,0,0,0,0.000126298869051036,0.000468859889036493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000304305257865629,0,0,0,0,3.34222364823765e-05,0,0,0,0,5.27807325965684e-05,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_665",0,0,0,0,0,0,0,0,0,0,0,0,0.00217481358740679,0,0.000482232045467593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00786894627655769,0.0122722971374497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_968",0,0,0,0,0,0,0,0,0,0,4.81910820212216e-05,0,0.00486743993371997,0.00337682271680737,0.000505195476204145,0,0.00131752305665349,0.00559963907539609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000793296643363578,0,0,0,0.000286548259097907,0,0.000247952327032589,0,7.72423662182544e-05,0.000333720449054236,0.000452004640580977,3.1814711122423e-05
"ASV_482",0,0,0,0,0,0,0.0019410327632944,0.000280898876404494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_282",0,0,0,0,0,0,0.00357417757103176,0.00269662921348315,0,0,0,0,0,0,0.000206670876628968,0,0,0,0,0,0,0,0,0,0,0,3.25896850025891e-05,0,0,0.00018522928739647,0,0.000326897092795188,0,0,6.01600256682776e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95367778060575e-05
"ASV_933",0,0,0,0,0,0,0.000716174157491382,0,0,0,0,0,0.0117025683512842,0.00859554873369148,0.00107928124461795,0,0,0.000318462885804517,0,0,0,0,0,0.000103193258040475,0,0,6.51793700051781e-05,0,5.49370970239076e-05,0,0,0,0,0,0.000394382390492042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93781915777973e-05,0,0,0,0,0,0,0,7.26198833240541e-05,0,0.00177806298086243,0,0,0,0,0.000219243043093438,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173811653347142,0,0,0.000171998624011008,0.00064077918749199,0.000435862790393584,0,0,0.000788764780984084,0.00216864395968874,0,0,0,0,0,0,0,0,0,0,0,0,0.000113830855479533,0.00105455661901139,0,0
"ASV_382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016646231049687,0.00778422331300511,0.0226182316655243,0.000794803323317821,0.000188064613627968,0.00249151282910553,0,0.00201667892653173,0,0.00341492566438598,0.0161387209162629,0.0039173735517018,0.000384958004581318
"ASV_833",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100840336134454,0,0.00185259957722728,0.00102843315184513,0.000843710733955917,0.000714892698652495,0.000114868475595443,0,0.000448545431244393,0,0.000164605068867856,0,0.00203207197812849,0.00497512437810945,0.000720622220013418,0,0.000724680030389808,0.000941933074031068,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_624",0,0,0,0,0,0,0.00112446035942572,0,0.00249979576831958,0.000686445448180233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_820",0,0,0,0,0,0,0,0,0,0,0.000372385633800349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000739153669048939,0,0,0,0,0,0.00353607261983543,0,0,0,0.00264449769154345,0.00325210513921933,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_84",0,0,0,0,0,0,0,0,0,0,0.00177868902732872,0.00179744087131391,0,0,0.000872610367988978,0,0,0.000610387197791991,0,0,0.000731255613579099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326463608035684,0.0140040971219398,0,0,0,0,0.000439061871135341,0,0.00215455545343599,0.00161618732501909
